id_questionnaire;id_block;id_question;Question text;id_answer;Answer text;Scoring
4;14;4002;I have values that give my life more meaning.;4001;Strongly disagree;1
4;14;4002;I have values that give my life more meaning.;4002;Disagree;2
4;14;4002;I have values that give my life more meaning.;4003;Neither agree or disagree;3
4;14;4002;I have values that give my life more meaning.;4004;Agree;4
4;14;4002;I have values that give my life more meaning.;4005;Strongly agree;5
4;14;4003;I know what motivates me in life.;4001;Strongly disagree;1
4;14;4003;I know what motivates me in life.;4002;Disagree;2
4;14;4003;I know what motivates me in life.;4003;Neither agree or disagree;3
4;14;4003;I know what motivates me in life.;4004;Agree;4
4;14;4003;I know what motivates me in life.;4005;Strongly agree;5
4;14;4004;I believe that I’ve found important values to live according to.;4001;Strongly disagree;1
4;14;4004;I believe that I’ve found important values to live according to.;4002;Disagree;2
4;14;4004;I believe that I’ve found important values to live according to.;4003;Neither agree or disagree;3
4;14;4004;I believe that I’ve found important values to live according to.;4004;Agree;4
4;14;4004;I believe that I’ve found important values to live according to.;4005;Strongly agree;5
4;14;4005;I know exactly what I want to do with my life.;4001;Strongly disagree;1
4;14;4005;I know exactly what I want to do with my life.;4002;Disagree;2
4;14;4005;I know exactly what I want to do with my life.;4003;Neither agree or disagree;3
4;14;4005;I know exactly what I want to do with my life.;4004;Agree;4
4;14;4005;I know exactly what I want to do with my life.;4005;Strongly agree;5
4;14;4006;I make choices based on my values, even if it is stressful.;4001;Strongly disagree;1
4;14;4006;I make choices based on my values, even if it is stressful.;4002;Disagree;2
4;14;4006;I make choices based on my values, even if it is stressful.;4003;Neither agree or disagree;3
4;14;4006;I make choices based on my values, even if it is stressful.;4004;Agree;4
4;14;4006;I make choices based on my values, even if it is stressful.;4005;Strongly agree;5
4;14;4007;I know how I want to live my life.;4001;Strongly disagree;1
4;14;4007;I know how I want to live my life.;4002;Disagree;2
4;14;4007;I know how I want to live my life.;4003;Neither agree or disagree;3
4;14;4007;I know how I want to live my life.;4004;Agree;4
4;14;4007;I know how I want to live my life.;4005;Strongly agree;5
4;14;4008;I know what I want to do with my life.;4001;Strongly disagree;1
4;14;4008;I know what I want to do with my life.;4002;Disagree;2
4;14;4008;I know what I want to do with my life.;4003;Neither agree or disagree;3
4;14;4008;I know what I want to do with my life.;4004;Agree;4
4;14;4008;I know what I want to do with my life.;4005;Strongly agree;5
4;14;4009;I believe that my values are really reflected in my behaviour.;4001;Strongly disagree;1
4;14;4009;I believe that my values are really reflected in my behaviour.;4002;Disagree;2
4;14;4009;I believe that my values are really reflected in my behaviour.;4003;Neither agree or disagree;3
4;14;4009;I believe that my values are really reflected in my behaviour.;4004;Agree;4
4;14;4009;I believe that my values are really reflected in my behaviour.;4005;Strongly agree;5
4;14;4010;I believe that how I behave fits in with my personal wants and desires.;4001;Strongly disagree;1
4;14;4010;I believe that how I behave fits in with my personal wants and desires.;4002;Disagree;2
4;14;4010;I believe that how I behave fits in with my personal wants and desires.;4003;Neither agree or disagree;3
4;14;4010;I believe that how I behave fits in with my personal wants and desires.;4004;Agree;4
4;14;4010;I believe that how I behave fits in with my personal wants and desires.;4005;Strongly agree;5
4;14;4011;My emotions don’t hold me back from doing what’s important to me.;4001;Strongly disagree;1
4;14;4011;My emotions don’t hold me back from doing what’s important to me.;4002;Disagree;2
